Product_names,Discount,Reviews_rate,Price,product-Discount
CLEAR NOSE UV Sun Serum SPF50+ PA++++ 80ml,-41%,4.9 / 5.0,฿589,-41%
CLEAR NOSE Dark Spot Bright Serum 100ml,-28%,4.9 / 5.0,"฿789
",-28%
CLEAR NOSE Acne Care Solution Facial Serum 100ml,-22%,4.9 / 5.0,"฿690
",-22%
CLEAR NOSE Moist Skin Barrier Moisturizing Gel 10ml,-28%,4.9 / 5.0,฿49,
CLEAR NOSE Vitamin C Concentrate Super Serum 120ml,-50%,4.8 / 5.0,"฿789
",-28%
CLEAR NOSE Acne Care Solution BB 30g,-31%,5.0 / 5.0,"฿360
",-50%
CLEAR NOSE Acne Care Solution Cleanser 150ml,-40%,4.9 / 5.0,"฿179
",-31%
CLEAR NOSE Dark Spot Bright Solution Serum 7g,-32%,4.9 / 5.0,฿49,
CLEAR NOSE Acne Gel Concentrate Solution 15g,-32%,4.9 / 5.0,"฿199
",-40%
CLEAR NOSE Vitamin C Complex Cleanser 150ml,-36%,4.9 / 5.0,"฿189
",-32%
CLEAR NOSE Bright Micro Solution Cleanser 150ml,-42%,4.8 / 5.0,"฿189
",-32%
CLEAR NOSE Acne Care Solution Concealer 12g #101 Light Beige,-35%,5.0 / 5.0,"฿379
",-36%
CLEAR NOSE Acne Care Solution Essence 150ml,-36%,4.9 / 5.0,"฿399
",-42%
